technique,n_vectors,dim,elapsed_ms,cosine_sim_mean,cosine_sim_std,cosine_sim_p05,norm_ratio_mean,norm_ratio_std,mse_vs_original,ks_statistic,ks_pvalue,entropy_original,entropy_obfuscated,pairwise_corr,recovery_cosine
noise_med::noise+rotation,68,3072,563.2155889761634,0.8748577308758658,0.003433445880922967,0.8694601941223583,1.1464113048685491,0.00932418208841938,0.00010039624934057768,0.03968003216911764,2.4944897382028717e-143,-12.98385976725162,-11.291677019065324,0.981558414176647,0.8748576634336355
noise_med::noise+rotation+scaling,68,3072,572.1893819863908,0.8746193943393389,0.0035866013974803937,0.8690718015105712,1.1136800939498939,0.11144886686144254,9.919372238756483e-05,0.0312930836397059,2.7057003704500916e-89,-12.98385976725162,-11.868150066859412,0.9820032177055988,0.8746214600655785
noise_med::all,68,3072,634.0108580188826,0.48974989385560347,0.03583600785982162,0.43614649949960776,1.9318843464964308,0.06933321376156149,0.0009244224555934978,0.19002757352941174,0.0,-12.98385976725162,-7.672745048094912,0.6736418473619192,0.48975869637658986
noise_high::noise,68,3072,3.539720957633108,0.34177952019226954,0.014960840086853932,0.317645833219958,2.9490454071630343,0.030873587357275932,0.0025005195471878164,0.2464096966911764,0.0,-12.98385976725162,-4.103467216510314,0.5710928117648413,
noise_high::rotation,68,3072,696.0780539666303,0.999986356755074,7.490955074890888e-06,0.9999722351791135,1.0,0.0,8.881265983946129e-09,7.18060661765163e-05,1.0,-12.98385976725162,-12.983892563345524,1.0,1.0
noise_high::scaling,68,3072,1.2288610450923443,1.0,1.564309409720173e-16,0.9999999999999998,0.9524834707385323,0.09074737490212409,3.4154524835598895e-06,0.01303998161764705,7.415987818221192e-16,-12.98385976725162,-13.445537793877143,0.9999999999999999,1.0
noise_high::offset,68,3072,1.4893910265527666,0.5289254302349109,0.010458230451990534,0.5133195603214863,1.884330955878076,0.0178083655213036,0.0008324683203610398,0.1865904564950981,0.0,-12.98385976725162,-7.786267448656274,0.7347162927177284,
noise_high::noise+rotation,68,3072,752.4150490062311,0.34324050908960513,0.015704943041976734,0.31880305909149764,2.956181255973946,0.03718383555647141,0.002509903477468164,0.24684053308823528,0.0,-12.98385976725162,-4.382624259824103,0.554127421214041,0.3432382575215789
noise_high::noise+rotation+scaling,68,3072,693.6077729915269,0.33798745002390435,0.015196552928406958,0.3125775326800904,2.868816677440069,0.29339804077689036,0.0024016585586589313,0.23956418504901955,0.0,-12.98385976725162,-4.556283307628118,0.559156794369528,0.3379664132788636
noise_high::all,68,3072,750.2495569642633,0.2924703974873735,0.01573031176032358,0.2663060526374583,3.221885743537434,0.2575851625009852,0.0031114157284873223,0.262939453125,0.0,-12.98385976725162,-3.6716278069255384,0.5178213237561747,0.2924833029402306
default::noise,68,3072,3.3596500288695097,0.8749495855441555,0.0034549130238171947,0.8692934369251727,1.1447220864806293,0.007710448282078558,0.00010002078188751267,0.03926355698529413,2.4095656695197166e-140,-12.98385976725162,-11.425116774408723,0.9829769505699668,
default::rotation,68,3072,609.3121890444309,0.999986356755074,7.490955074890888e-06,0.9999722351791135,1.0,0.0,8.881265983946129e-09,7.18060661765163e-05,1.0,-12.98385976725162,-12.983892563345524,1.0,1.0
default::scaling,68,3072,1.0718400008045137,1.0,1.564309409720173e-16,0.9999999999999998,0.9524834707385323,0.09074737490212409,3.4154524835598895e-06,0.01303998161764705,7.415987818221192e-16,-12.98385976725162,-13.445537793877143,0.9999999999999999,1.0
default::offset,68,3072,1.5736899804323912,0.5289254302349109,0.010458230451990534,0.5133195603214863,1.884330955878076,0.0178083655213036,0.0008324683203610398,0.1865904564950981,0.0,-12.98385976725162,-7.786267448656274,0.7347162927177284,
default::noise+rotation,68,3072,755.4398479987867,0.8748577308758658,0.003433445880922967,0.8694601941223583,1.1464113048685491,0.00932418208841938,0.00010039624934057768,0.03968003216911764,2.4944897382028717e-143,-12.98385976725162,-11.291677019065324,0.981558414176647,0.8748576634336355
default::noise+rotation+scaling,68,3072,637.2887460165657,0.8746193943393389,0.0035866013974803937,0.8690718015105712,1.1136800939498939,0.11144886686144254,9.919372238756483e-05,0.0312930836397059,2.7057003704500916e-89,-12.98385976725162,-11.868150066859412,0.9820032177055988,0.8746214600655785
default::all,68,3072,698.8039419520646,0.48974989385560347,0.03583600785982162,0.43614649949960776,1.9318843464964308,0.06933321376156149,0.0009244224555934978,0.19002757352941174,0.0,-12.98385976725162,-7.672745048094912,0.6736418473619192,0.48975869637658986
